"20190502",3501","ºû¿Q","102,525","76","5,527,150","54.00","54.00","53.80","53.90","-","0.10","53.80","21","53.90","4","9.00"
"20190503",3501","ºû¿Q","157,966","105","8,539,255","53.90","54.30","53.90","54.20","+","0.30","54.10","6","54.30","4","9.05"
"20190506",3501","ºû¿Q","205,651","138","11,038,688","54.20","54.20","53.50","53.60","-","0.60","53.60","12","53.70","3","8.95"
"20190507",3501","ºû¿Q","123,529","83","6,638,959","53.60","53.90","53.60","53.80","+","0.20","53.70","3","53.90","6","8.98"
"20190508",3501","ºû¿Q","135,260","106","7,240,988","53.50","53.90","53.30","53.70","-","0.10","53.70","2","53.80","1","8.96"
"20190509",3501","ºû¿Q","210,140","145","11,222,204","53.70","53.70","53.20","53.20","-","0.50","53.20","24","53.30","2","8.88"
"20190510",3501","ºû¿Q","209,000","139","11,094,100","53.20","53.40","52.80","52.90","-","0.30","52.90","14","53.00","14","8.83"
"20190513",3501","ºû¿Q","203,607","133","10,723,071","53.00","53.00","52.50","52.60","-","0.30","52.50","21","52.60","5","8.78"
"20190514",3501","ºû¿Q","346,145","195","17,832,953","51.80","52.30","50.60","52.30","-","0.30","52.20","1","52.30","2","8.39"
"20190515",3501","ºû¿Q","192,226","139","10,002,064","52.50","52.50","51.80","52.00","-","0.30","51.90","2","52.00","5","8.35"
"20190516",3501","ºû¿Q","162,226","110","8,390,389","51.80","52.20","51.60","51.60","-","0.40","51.60","8","51.90","3","8.28"
"20190517",3501","ºû¿Q","149,068","113","7,668,904","51.80","51.90","51.20","51.30","-","0.30","51.30","11","51.60","3","8.23"
"20190520",3501","ºû¿Q","172,292","107","8,851,260","51.70","51.70","51.10","51.40","+","0.10","51.30","4","51.40","2","8.25"
"20190521",3501","ºû¿Q","114,000","88","5,870,600","51.20","51.80","51.20","51.70","+","0.30","51.70","4","51.80","2","8.30"
"20190522",3501","ºû¿Q","85,500","69","4,434,848","51.80","52.00","51.70","51.70"," ","0.00","51.70","5","51.90","1","8.30"
"20190523",3501","ºû¿Q","136,320","104","7,063,507","51.70","52.00","51.60","51.80","+","0.10","51.70","21","51.90","15","8.31"
"20190524",3501","ºû¿Q","121,300","91","6,305,800","51.80","52.40","51.70","52.10","+","0.30","52.00","10","52.10","6","8.36"
"20190527",3501","ºû¿Q","88,491","83","4,635,680","52.20","52.70","52.10","52.30","+","0.20","52.30","17","52.50","3","8.39"
"20190528",3501","ºû¿Q","86,025","61","4,485,750","52.50","52.60","52.00","52.40","+","0.10","52.40","3","52.50","1","8.41"
"20190529",3501","ºû¿Q","47,000","42","2,458,100","52.10","52.40","52.10","52.30","-","0.10","52.20","9","52.30","1","8.39"
