"20190502",2419","¥òµa","773,173","441","16,530,278","21.50","21.55","21.25","21.35","-","0.05","21.35","13","21.40","17","24.83"
"20190503",2419","¥òµa","768,407","390","16,421,983","21.50","21.50","21.30","21.35"," ","0.00","21.35","20","21.40","49","24.83"
"20190506",2419","¥òµa","1,021,316","495","21,446,166","21.35","21.35","20.85","20.90","-","0.45","20.90","13","20.95","1","24.30"
"20190507",2419","¥òµa","741,967","392","15,641,904","21.20","21.35","20.95","20.95","+","0.05","20.95","52","21.00","1","24.94"
"20190508",2419","¥òµa","3,139,830","1,508","67,329,881","21.10","21.70","20.95","21.30","+","0.35","21.30","37","21.35","10","25.36"
"20190509",2419","¥òµa","2,126,709","969","45,116,490","21.50","21.65","20.95","21.10","-","0.20","21.10","16","21.15","19","25.12"
"20190510",2419","¥òµa","1,326,292","717","28,063,163","21.30","21.45","20.90","21.05","-","0.05","21.05","7","21.10","6","25.06"
"20190513",2419","¥òµa","1,481,644","631","30,992,789","21.00","21.20","20.80","20.90","-","0.15","20.90","13","20.95","15","24.88"
"20190514",2419","¥òµa","912,967","616","18,831,808","20.80","20.90","20.20","20.75","-","0.15","20.75","1","20.80","44","24.70"
"20190515",2419","¥òµa","880,636","603","18,484,535","20.90","21.15","20.90","20.95","+","0.20","20.95","13","21.05","18","24.94"
"20190516",2419","¥òµa","1,097,800","553","22,741,633","20.95","21.25","20.35","20.35","-","0.60","20.35","21","20.45","99","24.23"
"20190517",2419","¥òµa","1,096,813","607","22,473,331","20.50","20.80","20.30","20.50","+","0.15","20.45","6","20.50","5","24.40"
"20190520",2419","¥òµa","1,270,105","746","25,981,198","20.50","20.70","20.00","20.60","+","0.10","20.55","20","20.65","17","24.52"
"20190521",2419","¥òµa","1,288,426","657","26,943,902","20.50","21.15","20.40","20.95","+","0.35","20.90","28","20.95","10","24.94"
"20190522",2419","¥òµa","505,942","351","10,637,036","21.20","21.20","20.85","20.85","-","0.10","20.85","44","21.00","7","24.82"
"20190523",2419","¥òµa","719,830","437","14,839,830","20.90","20.90","20.50","20.65","-","0.20","20.60","14","20.65","1","24.58"
"20190524",2419","¥òµa","503,154","389","10,348,603","20.65","20.70","20.50","20.50","-","0.15","20.50","42","20.60","10","24.40"
"20190527",2419","¥òµa","533,708","352","10,825,335","20.65","20.65","20.15","20.15","-","0.35","20.15","15","20.25","2","23.99"
