"20190502",3653","°·µ¦","2,765,760","1,974","324,947,680","116.50","119.00","115.00","118.50","+","1.50","118.00","33","118.50","23","23.05"
"20190503",3653","°·µ¦","2,268,177","1,594","266,857,886","118.00","119.50","116.00","118.00","-","0.50","118.00","14","118.50","24","22.96"
"20190506",3653","°·µ¦","1,443,936","998","166,091,169","115.00","117.00","113.50","114.50","-","3.50","114.00","53","114.50","22","22.28"
"20190507",3653","°·µ¦","2,789,489","2,159","322,121,979","115.00","116.50","113.50","115.00","+","0.50","115.00","15","115.50","4","22.37"
"20190508",3653","°·µ¦","6,289,861","4,392","682,303,210","111.50","112.50","104.50","109.00","-","6.00","108.50","1","109.00","104","21.21"
"20190509",3653","°·µ¦","5,822,133","3,763","606,527,627","108.00","109.00","100.50","102.00","-","7.00","102.00","13","102.50","45","19.84"
"20190510",3653","°·µ¦","4,600,721","3,053","467,403,378","104.50","104.50","99.50","101.00","-","1.00","100.50","34","101.00","4","19.65"
"20190513",3653","°·µ¦","1,858,470","1,317","188,038,470","101.50","103.50","99.50","99.50","-","1.50","99.50","13","100.50","5","19.36"
"20190514",3653","°·µ¦","2,469,383","1,776","243,993,591","97.30","101.50","94.50","100.50","+","1.00","100.00","156","100.50","1","19.55"
"20190515",3653","°·µ¦","2,740,050","1,690","279,742,725","101.50","104.50","101.00","101.00","+","0.50","101.00","24","101.50","16","19.65"
"20190516",3653","°·µ¦","3,018,502","2,003","307,365,802","101.50","104.00","99.60","99.60","-","1.40","99.60","3","99.70","1","19.38"
"20190517",3653","°·µ¦","2,357,050","1,632","235,131,240","102.50","102.50","97.00","97.50","-","2.10","97.50","54","98.00","1","18.97"
"20190520",3653","°·µ¦","2,152,200","1,636","211,431,000","98.00","101.00","94.10","100.50","+","3.00","100.50","3","101.00","32","19.55"
"20190521",3653","°·µ¦","4,572,011","3,063","477,890,166","100.50","107.50","99.60","106.00","+","5.50","106.00","32","106.50","50","20.62"
"20190522",3653","°·µ¦","3,355,696","2,353","352,446,492","105.00","107.00","101.50","102.00","-","4.00","102.00","23","102.50","11","19.84"
"20190523",3653","°·µ¦","1,827,199","1,423","186,177,597","101.00","103.50","99.60","103.00","+","1.00","103.00","8","103.50","33","20.04"
"20190524",3653","°·µ¦","1,374,900","1,060","141,917,350","103.00","104.50","101.00","101.00","-","2.00","101.00","77","101.50","1","19.65"
"20190527",3653","°·µ¦","1,849,050","1,383","191,384,150","102.50","105.00","101.00","104.00","+","3.00","103.50","10","104.00","13","20.23"
"20190528",3653","°·µ¦","2,794,010","2,090","293,733,050","105.50","106.50","103.50","105.00","+","1.00","104.50","21","105.00","5","20.43"
"20190529",3653","°·µ¦","7,521,130","5,378","813,034,300","107.00","110.00","105.50","110.00","+","5.00","109.50","28","110.00","61","21.40"
"20190530",3653","°·µ¦","6,698,073","4,544","741,188,884","109.50","113.50","107.50","107.50","-","2.50","107.00","144","107.50","19","20.91"
"20190531",3653","°·µ¦","3,895,155","3,002","430,977,936","107.00","112.50","107.00","112.50","+","5.00","112.00","2","112.50","113","21.89"
"20190603",3653","°·µ¦","5,672,437","4,069","650,683,972","112.00","117.00","110.50","115.50","+","3.00","115.50","141","116.00","54","22.47"
"20190604",3653","°·µ¦","3,026,820","2,063","347,274,300","115.00","116.00","113.00","116.00","+","0.50","115.50","3","116.00","80","22.57"
"20190605",3653","°·µ¦","5,121,920","3,590","581,438,880","118.50","119.00","109.50","113.50","-","2.50","113.00","3","113.50","64","22.08"
"20190606",3653","°·µ¦","1,918,221","1,367","213,552,919","112.00","113.50","110.00","110.00","-","3.50","110.00","83","110.50","2","21.40"
"20190610",3653","°·µ¦","6,464,695","4,357","766,688,095","112.50","121.00","112.50","121.00","+","11.00","121.00","342","--","0","23.54"
"20190611",3653","°·µ¦","5,879,769","4,259","719,865,818","122.00","124.50","120.00","123.00","+","2.00","122.50","12","123.00","35","23.93"
"20190612",3653","°·µ¦","2,044,590","1,385","249,333,980","122.50","123.50","120.50","121.00","-","2.00","121.00","21","121.50","2","23.54"
"20190613",3653","°·µ¦","3,237,034","2,331","382,156,012","120.00","120.50","116.50","118.00","-","3.00","117.50","87","118.00","17","22.96"
"20190614",3653","°·µ¦","1,798,835","1,313","210,417,775","117.50","119.00","115.50","116.00","-","2.00","116.00","68","116.50","34","22.57"
"20190617",3653","°·µ¦","1,499,437","1,170","177,626,566","116.50","120.00","116.50","118.00","+","2.00","118.00","7","118.50","16","22.96"
"20190618",3653","°·µ¦","2,153,004","1,653","248,945,460","118.00","118.50","113.50","115.50","-","2.50","115.00","1","115.50","39","22.47"
"20190619",3653","°·µ¦","4,730,198","3,255","567,726,260","117.50","121.50","117.50","120.00","+","4.50","119.50","34","120.00","4","23.35"
"20190620",3653","°·µ¦","2,756,226","1,943","334,600,798","119.50","122.50","118.50","122.50","+","2.50","122.00","8","122.50","32","23.83"
"20190621",3653","°·µ¦","2,664,010","1,872","321,467,200","123.00","124.00","119.00","120.00","-","2.50","120.00","114","120.50","1","23.35"
"20190624",3653","°·µ¦","1,245,345","898","147,390,572","120.00","120.00","116.00","120.00"," ","0.00","119.50","8","120.00","37","23.35"
"20190625",3653","°·µ¦","1,207,135","957","142,515,295","119.00","120.50","116.50","116.50","-","3.50","116.50","23","117.00","14","22.67"
"20190626",3653","°·µ¦","887,150","620","104,009,850","116.50","118.50","115.50","118.00","+","1.50","117.50","25","118.00","10","22.96"
"20190627",3653","°·µ¦","1,038,070","741","123,552,830","118.50","120.00","117.50","120.00","+","2.00","119.50","48","120.00","185","23.35"
"20190628",3653","°·µ¦","977,000","706","116,328,000","120.00","121.00","118.00","118.00","-","2.00","118.00","15","118.50","16","22.96"
"20190701",3653","°·µ¦","5,572,016","3,847","699,074,500","120.50","128.50","119.50","125.00","+","7.00","125.00","132","125.50","6","24.32"
"20190702",3653","°·µ¦","2,029,093","1,506","254,237,625","125.00","127.00","123.00","126.00","+","1.00","125.50","7","126.00","434","24.51"
"20190703",3653","°·µ¦","2,787,843","1,933","338,232,160","125.00","125.50","118.50","119.50","-","6.50","119.50","75","120.00","225","23.25"
"20190704",3653","°·µ¦","3,049,200","2,305","358,221,499","121.00","121.50","115.50","117.00","-","2.50","117.00","3","117.50","5","22.76"
"20190705",3653","°·µ¦","1,562,470","1,193","183,126,224","117.00","118.50","116.50","116.50","-","0.50","116.50","42","117.00","19","22.67"
"20190708",3653","°·µ¦","743,108","568","86,974,189","116.50","118.00","116.00","117.00","+","0.50","117.00","15","117.50","16","22.76"
"20190709",3653","°·µ¦","1,604,095","1,169","184,416,925","117.50","118.00","113.50","114.50","-","2.50","114.50","21","115.00","21","22.28"
