"20190502","0057","碔ü集","117,000","8","6,111,500","52.15","52.35","52.15","52.35","+","0.35","52.15","50","52.45","10","0.00"
"20190503","0057","碔ü集","30,000","8","1,582,150","52.65","52.90","52.55","52.90","+","0.55","52.85","50","53.05","10","0.00"
"20190506","0057","碔ü集","20,000","3","1,038,000","51.90","51.90","51.90","51.90","-","1.00","51.85","85","52.10","10","0.00"
"20190507","0057","碔ü集","24,000","7","1,261,300","52.25","52.60","52.20","52.60","+","0.70","52.50","5","52.60","10","0.00"
"20190508","0057","碔ü集","125,005","7","6,527,313","52.15","52.50","52.15","52.50","-","0.10","52.25","50","52.50","10","0.00"
"20190509","0057","碔ü集","22,000","5","1,138,200","52.10","52.10","51.70","51.70","-","0.80","51.45","50","51.60","10","0.00"
"20190510","0057","碔ü集","29,000","8","1,497,200","51.70","51.85","51.20","51.30","-","0.40","51.45","50","51.60","10","0.00"
"20190513","0057","碔ü集","33,000","7","1,677,350","51.20","51.20","50.70","50.70","-","0.60","50.40","85","50.65","30","0.00"
"20190514","0057","碔ü集","22,000","4","1,099,770","49.77","50.40","49.77","50.40","-","0.30","50.05","85","50.30","30","0.00"
"20190515","0057","碔ü集","21,000","3","1,061,450","50.45","50.55","50.45","50.55","+","0.15","50.20","85","50.45","30","0.00"
"20190516","0057","碔ü集","27,000","6","1,354,200","50.30","50.30","50.10","50.10","-","0.45","49.70","50","49.89","10","0.00"
"20190517","0057","碔ü集","81,000","8","4,038,720","49.99","50.00","49.57","49.57","-","0.53","49.14","50","49.33","10","0.00"
"20190520","0057","碔ü集","26,000","4","1,284,070","49.54","49.54","49.35","49.35","-","0.22","49.23","35","49.35","20","0.00"
"20190521","0057","碔ü集","24,000","7","1,183,920","49.23","49.51","49.14","49.51","+","0.16","49.36","35","49.45","10","0.00"
"20190522","0057","碔ü集","57,000","6","2,828,430","49.61","49.65","49.59","49.59","+","0.08","49.40","35","49.49","10","0.00"
"20190523","0057","碔ü集","47,000","13","2,283,240","48.90","48.90","48.54","48.58","-","1.01","48.52","35","48.60","11","0.00"
"20190524","0057","碔ü集","21,000","4","1,023,960","48.76","48.76","48.76","48.76","+","0.18","48.68","35","48.77","10","0.00"
"20190527","0057","碔ü集","21,000","3","1,020,830","48.61","48.63","48.61","48.63","-","0.13","48.58","85","48.66","30","0.00"
"20190528","0057","碔ü集","25,000","6","1,215,420","48.72","48.72","48.59","48.60","-","0.03","48.55","2","48.57","10","0.00"
"20190529","0057","碔ü集","21,000","3","1,014,590","48.19","48.32","48.19","48.32","-","0.28","48.38","85","48.46","30","0.00"
"20190530","0057","碔ü集","20,000","2","975,400","48.77","48.77","48.77","48.77","+","0.45","48.79","85","48.87","40","0.00"
"20190531","0057","碔ü集","20,000","2","990,200","49.51","49.51","49.51","49.51","+","0.74","49.49","85","49.57","30","0.00"
"20190603","0057","碔ü集","21,000","3","1,039,200","49.40","49.49","49.40","49.49","-","0.02","49.65","85","49.73","40","0.00"
"20190604","0057","碔ü集","23,000","5","1,134,530","49.64","49.65","49.28","49.28","-","0.21","49.16","35","49.23","30","0.00"
"20190605","0057","碔ü集","20,000","2","991,200","49.56","49.56","49.56","49.56","+","0.28","49.32","35","49.41","10","0.00"
"20190606","0057","碔ü集","21,000","3","1,027,440","49.04","49.04","48.92","48.92","-","0.64","49.07","35","49.17","10","0.00"
"20190610","0057","碔ü集","24,000","5","1,193,640","49.48","49.80","49.48","49.77","+","0.85","49.99","50","50.10","60","0.00"
"20190611","0057","碔ü集","133,000","8","6,683,250","50.25","50.40","50.20","50.20","+","0.43","50.15","85","50.35","50","0.00"
"20190612","0057","碔ü集","21,000","3","1,054,200","50.20","50.20","50.20","50.20"," ","0.00","50.20","35","50.45","10","0.00"
"20190613","0057","碔ü集","22,000","4","1,098,900","50.10","50.20","49.93","49.93","-","0.27","49.89","50","50.05","50","0.00"
"20190614","0057","碔ü集","22,000","4","1,094,520","49.88","49.88","49.74","49.74","-","0.19","49.59","35","49.74","52","0.00"
"20190617","0057","碔ü集","20,000","3","993,200","49.66","49.66","49.66","49.66","-","0.08","49.53","50","49.64","50","0.00"
"20190618","0057","碔ü集","25,000","5","1,243,350","49.75","49.75","49.73","49.73","+","0.07","49.75","50","49.90","40","0.00"
"20190619","0057","碔ü集","23,000","5","1,166,450","50.80","51.10","50.55","51.10","+","1.37","50.90","35","51.10","51","0.00"
"20190620","0057","碔ü集","36,000","5","1,837,200","50.95","51.10","50.95","51.10"," ","0.00","51.00","85","51.20","60","0.00"
"20190621","0057","碔ü集","28,000","4","1,435,250","51.20","51.30","51.15","51.30","+","0.20","51.00","50","51.25","60","0.00"
"20190624","0057","碔ü集","81,000","5","4,133,350","51.10","51.35","50.95","51.35","+","0.05","51.20","85","51.40","20","0.00"
"20190625","0057","碔ü集","23,000","5","1,172,600","51.20","51.20","50.95","50.95","-","0.40","50.90","50","51.10","60","0.00"
"20190626","0057","碔ü集","22,000","4","1,116,900","50.95","50.95","50.75","50.75","-","0.20","50.55","102","50.80","102","0.00"
"20190627","0057","碔ü集","22,000","4","1,131,800","51.40","51.45","51.40","51.45","+","0.70","51.20","75","51.60","30","0.00"
"20190628","0057","碔ü集","21,000","3","1,075,200","51.20","51.20","51.20","51.20","-","0.25","51.00","35","51.25","20","0.00"
"20190701","0057","碔ü集","21,000","3","1,099,200","52.35","52.35","52.20","52.20","+","1.00","52.15","50","52.35","41","0.00"
"20190702","0057","碔ü集","32,000","7","1,670,550","52.05","52.40","52.00","52.00","-","0.20","52.05","50","52.40","70","0.00"
"20190703","0057","碔ü集","22,000","4","1,136,600","51.80","51.80","51.65","51.65","-","0.35","51.45","50","51.65","40","0.00"
"20190704","0057","碔ü集","21,000","3","1,087,750","51.75","51.80","51.75","51.80","+","0.15","51.70","152","51.90","40","0.00"
"20190705","0057","碔ü集","31,000","5","1,601,850","51.70","51.85","51.60","51.60","-","0.20","51.65","20","51.75","10","0.00"
"20190708","0057","碔ü集","36,000","6","1,855,400","51.70","51.70","51.50","51.50","-","0.10","51.60","152","51.80","40","0.00"
"20190709","0057","碔ü集","24,000","5","1,236,750","51.65","51.70","51.50","51.50"," ","0.00","51.40","50","51.60","40","0.00"
"20190710","0057","碔ü集","21,000","3","1,092,000","52.00","52.00","52.00","52.00","+","0.50","52.05","50","52.25","40","0.00"
"20190711","0057","碔ü集","21,000","3","1,103,400","52.40","52.55","52.40","52.55","+","0.55","52.35","20","52.70","50","0.00"
"20190712","0057","碔ü集","24,000","6","1,259,400","52.60","52.60","52.45","52.45","-","0.10","52.20","70","52.55","50","0.00"
"20190715","0057","碔ü集","23,000","6","1,211,400","52.40","52.70","52.30","52.70","+","0.25","52.55","35","52.70","1","0.00"
"20190716","0057","碔ü集","25,000","7","1,324,150","53.10","53.10","52.85","52.95","+","0.25","52.85","1","53.15","20","0.00"
"20190717","0057","碔ü集","29,000","6","1,523,500","52.50","52.55","52.50","52.55","-","0.40","52.40","85","52.60","40","0.00"
"20190718","0057","碔ü集","20,000","3","1,050,000","52.50","52.50","52.50","52.50","-","0.05","52.35","35","52.65","20","0.00"
"20190719","0057","碔ü集","22,000","4","1,168,500","53.25","53.25","53.10","53.10","+","0.60","52.90","50","53.10","40","0.00"
"20190722","0057","碔ü集","24,000","5","1,280,650","53.15","53.40","53.15","53.40","+","0.30","53.25","85","53.60","60","0.00"
"20190723","0057","碔ü集","23,000","6","1,228,550","53.50","53.55","53.40","53.40"," ","0.00","53.35","50","53.55","60","0.00"
"20190724","0057","碔ü集","22,000","3","1,176,100","53.55","53.55","53.45","53.45","+","0.05","53.35","85","53.55","40","0.00"
"20190725","0057","碔ü集","20,000","2","1,071,000","53.55","53.55","53.55","53.55","+","0.10","53.55","35","53.60","1","0.00"
"20190726","0057","碔ü集","27,000","9","1,440,250","53.30","53.45","53.25","53.45","-","0.10","53.25","50","53.45","39","0.00"
"20190729","0057","碔ü集","23,000","5","1,225,750","53.20","53.30","53.20","53.30","-","0.15","53.20","50","53.35","20","0.00"
"20190730","0057","碔ü集","20,000","2","1,066,000","53.30","53.30","53.30","53.30"," ","0.00","53.00","50","53.20","40","0.00"
"20190731","0057","碔ü集","21,000","4","1,111,950","52.95","52.95","52.95","52.95","-","0.35","52.80","85","53.00","1","0.00"
"20190801","0057","碔ü集","20,000","2","1,050,000","52.50","52.50","52.50","52.50","-","0.45","52.40","50","52.60","60","0.00"
"20190802","0057","碔ü集","21,000","3","1,081,700","51.50","51.70","51.50","51.70","-","0.80","51.35","85","51.70","20","0.00"
"20190805","0057","碔ü集","23,000","5","1,172,850","51.55","51.55","50.95","51.05","-","0.65","50.85","50","51.05","40","0.00"
"20190806","0057","碔ü集","228,000","127","11,413,050","50.05","51.00","49.96","51.00","-","0.05","50.85","50","51.05","40","0.00"
"20190807","0057","碔ü集","23,000","4","1,171,900","51.00","51.00","50.95","50.95","-","0.05","50.70","5","51.00","35","0.00"
"20190808","0057","碔ü集","24,000","6","1,234,050","51.10","51.60","51.10","51.25","+","0.30","51.30","5","51.55","5","0.00"
"20190812","0057","碔ü集","22,000","4","1,133,700","51.35","51.55","51.35","51.55","+","0.30","51.15","50","51.50","70","0.00"
"20190813","0057","碔ü集","39,000","9","1,985,250","51.00","51.00","50.80","50.90","-","0.65","50.65","50","50.85","40","0.00"
"20190814","0057","碔ü集","27,039","7","1,388,785","51.35","51.50","51.35","51.35","+","0.45","51.05","50","51.25","40","0.00"
"20190815","0057","碔ü集","30,000","3","1,519,000","50.80","50.80","50.55","50.55","-","0.80","50.50","50","50.70","60","0.00"
"20190816","0057","碔ü集","24,000","6","1,226,100","50.60","51.30","50.60","51.30","+","0.75","51.00","50","51.20","40","0.00"
"20190819","0057","碔ü集","25,000","6","1,288,000","51.40","51.55","51.40","51.55","+","0.25","51.25","55","51.55","1","0.00"
"20190820","0057","碔ü集","23,000","5","1,188,850","51.55","51.70","51.55","51.70","+","0.15","51.60","50","51.85","40","0.00"
"20190821","0057","碔ü集","22,000","4","1,138,750","51.90","51.90","51.75","51.85","+","0.15","51.65","50","51.85","39","0.00"
"20190822","0057","碔ü集","77,000","4","3,975,100","51.55","51.70","51.55","51.60","-","0.25","51.50","50","51.75","60","0.00"
"20190823","0057","碔ü集","123,000","7","6,340,000","51.50","51.65","51.50","51.65","+","0.05","51.50","85","51.75","50","0.00"
"20190826","0057","碔ü集","22,000","4","1,120,850","50.95","50.95","50.90","50.90","-","0.75","50.65","50","50.90","49","0.00"
"20190827","0057","碔ü集","25,000","7","1,275,600","51.15","51.15","51.00","51.00","+","0.10","50.75","35","51.05","20","0.00"
"20190828","0057","碔ü集","20,000","2","1,025,000","51.25","51.25","51.25","51.25","+","0.25","51.10","50","51.35","50","0.00"
"20190829","0057","碔ü集","24,000","6","1,229,050","51.25","51.45","51.10","51.45","+","0.20","51.25","85","51.50","50","0.00"
"20190830","0057","碔ü集","28,000","6","1,460,900","52.15","52.35","51.95","52.35","+","0.90","52.15","5","52.35","45","0.00"
"20190902","0057","碔ü集","20,000","4","1,045,000","52.25","52.25","52.25","52.25","-","0.10","52.15","50","52.40","50","0.00"
"20190903","0057","碔ü集","22,000","5","1,144,800","52.40","52.40","52.00","52.00","-","0.25","51.70","50","51.95","50","0.00"
"20190904","0057","碔ü集","20,000","2","1,044,000","52.20","52.20","52.20","52.20","+","0.20","52.20","70","52.50","50","0.00"
"20190905","0057","碔ü集","21,000","3","1,110,800","52.80","52.90","52.80","52.90","+","0.70","52.75","70","53.00","51","0.00"
"20190906","0057","碔ü集","23,000","5","1,224,000","53.35","53.35","53.20","53.20","+","0.30","53.05","70","53.30","50","0.00"
"20190909","0057","碔ü集","23,000","5","1,227,600","53.50","53.55","53.35","53.35","+","0.15","53.25","50","53.50","50","0.00"
"20190910","0057","碔ü集","25,000","6","1,327,300","53.30","53.30","53.05","53.20","-","0.15","53.00","50","53.25","50","0.00"
"20190911","0057","碔ü集","21,000","3","1,117,450","53.45","53.45","53.20","53.20"," ","0.00","53.10","50","53.35","64","0.00"
"20190912","0057","碔ü集","22,000","4","1,177,200","53.60","53.60","53.50","53.50","+","0.30","53.35","52","53.50","1","0.00"
